ISO3,Name,&nbsp;,&nbsp;.1,Gain,Categoryy,CO2 per Capita,Color
AFG,Afghanistan,0.579127974169232,0.239126606182841,32.9999316006805,RED,0.159824372036919,#c71e1d
ALB,Albania,0.414296228670883,0.409452983371096,49.7578377350107,GREEN,1.69224831964856,#00dca6
DZA,Algeria,0.389748333847268,0.33068109430508,47.0466380228906,YELLOW,3.9776504588966,#fa8c00
AGO,Angola,0.50532047523413,0.262540372073311,37.8609948419591,RED,0.792137069457626,#c71e1d
ATG,Antigua and Barbuda,0.476997634158097,0.445502844232243,48.4252605037073,BLUE,5.35447645499165,#18a1cd
ARG,Argentina,0.406644187783349,0.382984241046119,48.8170026631385,YELLOW,3.74065029063396,#fa8c00
ARM,Armenia,0.395828800362673,0.507571569291164,55.5871384464245,GREEN,2.08606067775467,#00dca6
AUS,Australia,0.320237387751433,0.690156787839352,68.495970004396,GREEN,15.2382671504147,#00dca6
AUT,Austria,0.283778088642241,0.68665626105961,70.1439086208684,GREEN,7.2939842524557,#00dca6
AZE,Azerbaijan,0.437297489158371,0.438662422225791,50.068246653371,BLUE,3.54239782750878,#18a1cd
BHS,Bahamas,0.457091046686675,0.424584161286116,48.374655729972,BLUE,7.29166109736758,#18a1cd
BHR,Bahrain,0.451570981043787,0.506402068441481,52.7415543698847,BLUE,20.2661027913927,#18a1cd
BGD,Bangladesh,0.540541477723985,0.278169384035553,36.8813953155784,RED,0.556529455394022,#c71e1d
BRB,Barbados,0.38595855876077,0.536692412450074,57.5366926844652,GREEN,4.35508203232516,#00dca6
BLR,Belarus,0.344871941616698,0.501969625748656,57.8548842065979,GREEN,6.12223776544422,#00dca6
BEL,Belgium,0.345962866549964,0.600662947200381,62.7350040325208,GREEN,8.09558395403513,#00dca6
BLZ,Belize,0.4580070142531,0.334759598880295,43.8376292313597,RED,1.63955000933746,#c71e1d
BEN,Benin,0.572222301609624,0.336605947759305,38.2191823074841,RED,0.618583745834187,#c71e1d
BTN,Bhutan,0.519266852623236,0.476220953489274,47.8477050433019,BLUE,1.37597720898904,#18a1cd
BOL,Bolivia,0.459757626143376,0.286764268477931,41.3503321167277,RED,1.94039800503704,#c71e1d
BIH,Bosnia and Herzegovina,0.368691574865469,0.362408329731066,49.6858377432799,YELLOW,6.38291804321729,#fa8c00
BWA,Botswana,0.46597224285913,0.432771276990344,48.3399517065607,BLUE,3.14710707065972,#18a1cd
BRA,Brazil,0.395471620559677,0.35771468951001,48.1121534475166,YELLOW,2.05781083913756,#fa8c00
BRN,Brunei Darussalam,0.37141027581382,0.533100628846571,58.0845176516375,GREEN,16.1321585500862,#00dca6
BGR,Bulgaria,0.365433623977627,0.464001251102273,54.9283813562323,GREEN,5.61085727989368,#00dca6
BFA,Burkina Faso,0.546813190049424,0.290420088841339,37.1803449395957,RED,0.246046245966625,#c71e1d
BDI,Burundi,0.557556129966142,0.267934246229784,35.5189058131821,RED,0.062442671221937,#c71e1d
KHM,Cambodia,0.507016430269283,0.281663243165067,38.7323406447892,RED,0.981406549971231,#c71e1d
CMR,Cameroon,0.479758927813646,0.258881746461065,38.9561409323709,RED,0.364424921654471,#c71e1d
CAN,Canada,0.300828794077842,0.651613874467236,67.5392540194697,GREEN,15.4306128276297,#00dca6
CPV,Cape Verde,0.413089718618035,0.443865532361666,51.5387906871815,GREEN,1.18195567512973,#00dca6
CAF,Central African Republic,0.592627144849475,0.135595938472813,27.1484396811669,RED,0.0505776483111769,#c71e1d
TCD,Chad,0.657945603513661,0.191685215161874,26.6869805824106,RED,0.1410934124928,#c71e1d
CHL,Chile,0.324555053301059,0.54272754798027,60.9086247339605,GREEN,4.82111829925293,#00dca6
CHN,China,0.395612598396916,0.552967567166084,57.8677484384584,GREEN,7.60593696057347,#00dca6
COL,Colombia,0.417235208162047,0.378494336398517,48.0629564118235,YELLOW,1.60987083062336,#fa8c00
COM,Comoros,0.530662009584337,0.280681881384671,37.5009935900167,RED,0.376076363303223,#c71e1d
COG,Congo,0.522542549789341,0.219282389752764,34.8369919981712,RED,1.34931601739946,#c71e1d
COD,The Democratic Republic of Congo,0.586037432704819,0.207552355543295,31.0757461419238,RED,0.0369855862465028,#c71e1d
CRI,Costa Rica,0.382542503288403,0.45827917336291,53.7868335037253,GREEN,1.63247155826708,#00dca6
CIV,Cote d'Ivoire,0.51290448737715,0.305080511398472,39.6088012010661,RED,0.421129515397207,#c71e1d
HRV,Croatia,0.392475341093212,0.488179565408804,54.7852112157796,GREEN,4.06370783264011,#00dca6
CUB,Cuba,0.435315317999228,0.34975367562749,45.7219178814131,RED,2.28614606482985,#c71e1d
CYP,Cyprus,0.365165764751173,0.516949897111718,57.5892066180273,GREEN,5.99879528274471,#00dca6
CZE,Czech Republic,0.302833602625537,0.555018810496946,62.6092603935704,GREEN,9.02278615795801,#00dca6
DNK,Denmark,0.353538132824533,0.77545846168407,71.0960164429768,GREEN,5.10798850907958,#00dca6
DJI,Djibouti,0.480784656143433,0.329372435651344,42.4293889753956,RED,0.431407700717039,#c71e1d
