Country name,Ladder score,upperwhisker,lowerwhisker,Dystopia + residual,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,share_Dystopia + residual,share_Log GDP per capita,share_Social support,share_Healthy life expectancy,share_Freedom to make life choices,share_Generosity,share_Perceptions of corruption
Dominican Republic,5.823,5.967,5.679,1.512,1.517,1.272,0.511,0.73,0.086,0.196,25.965996908809892,26.051863300704102,21.844410097887685,8.775545251588527,12.536493216555039,1.4769019405804567,3.365962562253134
Mauritius,5.816,5.927,5.706,1.517,1.57,1.358,0.49,0.641,0.123,0.118,26.08321870701513,26.994497936726276,23.349381017881708,8.425034387895462,11.021320495185694,2.114855570839065,2.02888583218707
Moldova,5.816,5.93,5.702,1.795,1.385,1.277,0.542,0.695,0.077,0.044,30.863136176066025,23.813617606602477,21.956671251719396,9.319119669876203,11.949793672627235,1.3239339752407153,0.7565337001375515
Bolivia,5.784,5.895,5.674,2.02,1.217,1.179,0.488,0.719,0.1,0.061,34.92392807745505,21.040802213001385,20.383817427385896,8.437067773167358,12.430843706777317,1.7289073305670817,1.0546334716459198
Ecuador,5.725,5.85,5.599,1.846,1.315,1.151,0.64,0.606,0.087,0.078,32.24454148471616,22.969432314410483,20.104803493449783,11.179039301310043,10.585152838427948,1.519650655021834,1.3624454148471616
Kyrgyzstan,5.714,5.795,5.632,1.505,1.054,1.477,0.588,0.834,0.225,0.03,26.33881694084704,18.445922296114805,25.84879243962198,10.290514525726286,14.595729786489322,3.9376968848442417,0.5250262513125656
Montenegro,5.707,5.815,5.599,1.357,1.571,1.318,0.587,0.632,0.11,0.132,23.7778167163133,27.527597687050992,23.09444541790783,10.285614158051516,11.074119502365516,1.9274575083231118,2.3129490099877343
Mongolia,5.696,5.783,5.61,1.64,1.353,1.511,0.4,0.501,0.237,0.055,28.792134831460675,23.753511235955056,26.52738764044944,7.02247191011236,8.795646067415731,4.160814606741573,0.9655898876404495
Colombia,5.695,5.806,5.584,1.596,1.437,1.241,0.648,0.644,0.072,0.059,28.024582967515364,25.232660228270415,21.791044776119403,11.378402107111501,11.308165057067603,1.2642669007901666,1.0359964881474977
Venezuela,5.607,5.725,5.489,2.998,0.0,1.321,0.491,0.518,0.192,0.086,53.46887818797932,0.0,23.55983591938648,8.756911004102015,9.238451935081148,3.4242910647405025,1.5337970394150169
