doc_id,paragraph_id,sentence_id,sentence,token_id,token,lemma,upos,xpos,feats,head_token_id,dep_rel,deps,misc
doc28240,1,1,incredble,1,incredble,incredble,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28258,1,1,spacious1bdrm,1,spacious,spacious,ADJ,JJ,Degree=Pos,3,amod,NA,SpaceAfter=No
doc28262,1,1,internt,1,internt,internt,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28279,1,1,thiscondohasbeenrentedbythesfdreamleasingteamnolongeravailable,1,thiscondohasbeenrentedbythesfdreamleasingteamnolongeravailable,thiscondohasbeenrentedbythesfdreamleasingteamnolongeravailable,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28280,1,1,openhousesunjan10th,1,openhousesunjan,openhousesunjan,ADJ,JJ,Degree=Pos,2,amod,NA,SpaceAfter=No
doc28361,1,1,gorgeous1600sf,1,gorgeous,gorgeous,ADJ,JJ,Degree=Pos,2,amod,NA,SpaceAfter=No
doc28387,1,1,southeastern,1,southeastern,southeastern,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28420,1,1,glassy,1,glassy,glassy,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28426,1,1,brazilian,1,brazilian,brazilian,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28468,1,1,countless,1,countless,countless,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28524,1,1,_more,1,_more,_more,ADJ,JJR,Degree=Cmp,0,root,NA,SpacesAfter=\n
doc28538,1,1,unfurnished1yearparkpet,1,unfurnished,unfurnished,ADJ,JJ,Degree=Pos,3,amod,NA,SpaceAfter=No
doc28552,1,1,beautifulunfurn1bedcondoinclu1parkutilitesreadynow1.20.16nice,2,nice,nice,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28627,1,1,upscale_modern,1,upscale_modern,upscale_modern,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28708,1,1,nicedeal,1,nicedeal,nicedeal,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28725,1,1,promotional,1,promotional,promotional,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc28756,1,1,vertical,1,vertical,vertical,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
