homelon;homelat;homecontinent;n
-122.31;37.92;North America;2
-122.31;41.31;North America;2
-122.31;47.32;North America;2
-122.31;47.45;North America;8
-122.31;47.62;North America;2
-122.3;40.45;North America;3
-122.3;47.85;North America;3
-122.29;37.83;North America;195
-122.29;38.3;North America;6
-122.28;37.87;North America;2
-122.27;37.56;North America;2
-122.27;37.8;North America;53
-122.27;37.81;North America;4
-122.27;37.87;North America;21
-122.26;37.51;North America;3
-122.26;37.84;North America;2
-122.26;38.11;North America;12
-122.25;37.86;North America;4
-122.25;47.26;North America;5
-122.25;47.76;North America;2
-122.24;37.49;North America;3
-122.24;37.77;North America;7
-122.23;47.38;North America;3
-122.23;47.43;North America;2
-122.22;47.48;North America;6
-122.21;37.77;North America;15
-122.21;47.49;North America;4
-122.21;47.68;North America;14
-122.21;47.76;North America;5
-122.2;40.2;North America;5
-122.2;47.61;North America;5
-122.18;37.42;North America;4
-122.18;48.05;North America;2
-122.17;37.42;North America;51
-122.16;37.42;North America;2
-122.16;37.44;North America;2
-122.16;37.45;North America;2
-122.16;38.05;NA;5
-122.16;47.71;North America;2
-122.15;37.48;North America;5
-122.14;37.44;North America;114
-122.13;48.2;North America;2
-122.12;37.41;North America;2
-122.12;37.89;North America;5
-122.12;47.67;North America;9
-122.1;37.4;North America;4
-122.09;37.09;North America;5
-122.09;47.61;North America;7
-122.08;37.39;North America;9
-122.08;37.67;North America;4
-122.07;37.91;North America;2
-122.06;37.39;North America;192
-122.06;37.66;North America;5
-122.04;47.62;North America;2
-122.03;36.95;NA;3
-122.03;36.97;North America;899
-122.03;37.31;North America;3
-122.03;37.32;North America;4
-122.03;37.98;North America;2
-122.02;36.98;North America;28
-122.01;36.98;North America;2
-122.01;37.05;North America;6
-122;37.53;North America;4
-122;37.82;North America;2
-121.99;37.35;North America;3
-121.99;37.55;North America;7
-121.99;38.36;North America;8
-121.98;36.99;North America;3
-121.98;37.39;North America;2
-121.98;37.78;North America;2
-121.98;49.07;North America;8
-121.97;37.39;North America;3
-121.97;37.56;North America;2
-121.96;37.05;North America;3
-121.96;37.24;North America;7
-121.96;37.35;North America;6
-121.95;36.57;NA;2
-121.95;36.8;NA;4
-121.95;36.98;North America;7
-121.95;37.29;North America;20
-121.95;37.38;North America;21
-121.94;37.29;North America;2
-121.94;37.94;North America;2
-121.93;47.52;North America;4
-121.92;36.56;NA;6
-121.92;36.62;NA;4
-121.92;37.37;North America;2
-121.92;37.8;North America;2
-121.9;36.62;NA;5
-121.9;37.43;North America;5
-121.89;36.6;NA;28
-121.89;37.34;North America;56
-121.88;36.59;North America;3
-121.86;36.36;North America;6
-121.84;37.11;North America;6
-121.84;39.73;North America;58
-121.8;36.68;North America;2
-121.77;37.68;North America;12
-121.76;36.9;North America;2
-121.76;36.91;North America;2
-121.67;36.78;North America;15
-121.66;36.68;North America;6
-121.66;36.72;North America;3
-121.62;39.76;North America;13
-121.57;37.01;North America;2
-121.55;44.29;North America;5
-121.52;45.7;North America;2
-121.52;45.71;North America;18
-121.5;38.58;North America;10
-121.49;38.58;North America;32
-121.43;37.74;North America;4
-121.43;43.87;North America;25
-121.42;38.56;North America;2
-121.41;47.39;North America;3
-121.37;38.41;North America;12
-121.37;38.56;North America;2
-121.37;38.71;North America;2
-121.35;36.31;North America;3
-121.32;44.06;North America;5
-121.29;37.96;North America;3
-121.29;38.75;North America;3
-121.29;44.07;North America;2
-121.28;38.71;North America;2
-121.25;38.63;North America;2
-121.24;38.79;North America;2
-121.23;38.64;North America;2
-121.16;38.11;North America;7
-121.06;38.9;North America;3
-121.06;39.22;North America;3
-121.03;37.69;North America;3
-121;37.64;North America;6
-120.92;48.31;North America;2
-120.91;35.45;North America;2
-120.9;38.84;North America;76
-120.85;35.36;North America;4
-120.85;35.37;North America;16
-120.85;47.44;North America;2
-120.79;37.44;North America;2
-120.74;39.04;North America;2
-120.74;47.75;North America;41
-120.72;37.39;North America;17
-120.66;35.28;North America;23
-120.65;35.29;North America;18
-120.65;35.64;North America;16
-120.64;35.14;North America;14
-120.61;35.1;North America;3
-120.59;35.12;North America;12
-120.55;43.8;North America;105
-120.55;47;North America;2
-120.47;47.52;North America;2
-120.46;34.64;North America;10
-120.44;34.95;North America;15
-120.33;50.67;North America;2
-120.31;47.42;North America;3
-120.23;34.51;North America;2
-120.14;34.6;North America;3
-120.1;34.58;North America;4
-120.06;36.96;North America;3
-120.06;36.97;North America;2
-120.03;39.1;North America;5
-120;38.92;North America;3
-119.83;34.44;North America;2
-119.82;36.81;North America;2
-119.81;39.53;North America;17
-119.8;36.76;North America;2
-119.8;36.83;North America;95
-119.79;36.99;North America;20
-119.78;36.3;North America;5
-119.77;34.01;North America;2
-119.77;36.75;North America;8
-119.77;39.16;North America;2
-119.76;34.44;North America;3
-119.75;39.53;North America;6
-119.7;34.42;North America;156
-119.7;36.83;North America;2
-119.69;34.41;North America;28
-119.68;35.14;North America;2
-119.63;36.86;North America;2
-119.53;36.61;North America;3
-119.52;34.4;North America;5
-119.5;49.89;North America;8
-119.48;34.37;North America;25
-119.47;36.69;North America;2
-119.42;36.78;North America;1599
-119.35;46.28;North America;2
-119.28;46.35;North America;23
-119.28;50.7;North America;8
-119.24;34.45;North America;250
-119.23;34.27;North America;51
-119.18;34.2;North America;5
-119.14;34.37;North America;5
-119.14;46.21;North America;2
-119.14;46.24;North America;4
-119.04;34.22;North America;15
-119.04;37.65;North America;2
-119.02;35.37;North America;11
-119.02;35.38;North America;2
-118.95;34.09;North America;6
-118.91;34.18;North America;2
-118.91;35.22;North America;41
-118.84;34.17;North America;12
-118.81;34.15;North America;3
-118.78;34.03;NA;246
-118.78;34.27;North America;4
-118.76;34.15;North America;4
-118.7;34.14;North America;2
-118.66;34.14;North America;8
-118.64;34.33;North America;2
-118.61;34.15;North America;2
-118.61;34.17;North America;23
-118.61;34.25;North America;3
-118.6;34.09;North America;5
-118.6;34.19;North America;3
-118.59;34.2;North America;2
-118.56;34.23;North America;22
-118.55;34.23;North America;5
-118.54;34.39;North America;22
-118.53;34.24;North America;7
-118.52;34.04;North America;2
-118.52;34.15;North America;2
-118.49;34;North America;27
-118.49;34.01;North America;34
-118.49;34.02;North America;294
-118.49;34.03;North America;14
-118.47;33.99;North America;213
-118.47;34.04;North America;3
-118.47;34.05;North America;15
-118.46;34.05;North America;6
-118.45;33.98;North America;63
-118.45;34.05;North America;4
-118.45;34.15;North America;5
-118.45;34.19;North America;5
-118.44;33.93;North America;6
-118.44;33.96;North America;3
-118.44;34.01;North America;5
-118.44;34.04;North America;6
-118.44;34.28;North America;5
-118.43;34;North America;17
-118.43;34.02;North America;3
-118.43;34.07;North America;2
-118.42;33.92;North America;35
-118.42;33.97;North America;3
-118.42;34.06;North America;2
-118.42;34.21;North America;7
-118.41;33.88;North America;462
-118.41;33.94;North America;31
-118.41;34.08;North America;4
-118.41;34.1;North America;18
-118.4;33.86;NA;63
-118.4;33.94;North America;4
-118.4;34.02;North America;4
-118.4;34.07;North America;67
-118.4;34.25;North America;2
-118.39;33.74;North America;2
-118.39;33.84;North America;3
-118.39;33.85;North America;1866
-118.39;33.85;NA;2
-118.39;34;North America;4
-118.39;34.06;North America;3
-118.39;34.09;North America;13
-118.38;33.88;North America;2
-118.38;33.92;North America;2
-118.38;33.94;North America;2
-118.38;34.08;North America;4
-118.37;34.07;North America;28
-118.37;34.08;North America;7
-118.37;34.17;North America;2
-118.36;34.05;North America;3
-118.36;34.06;North America;4
-118.36;34.09;North America;25
-118.35;33.96;North America;11
-118.35;34.08;North America;2
-118.35;34.14;North America;7
-118.35;34.15;North America;2
-118.34;33.82;North America;6
-118.34;33.84;North America;32
-118.34;34.07;North America;5
-118.34;34.1;North America;5
-118.34;46.06;North America;2
-118.33;34.09;North America;379
-118.32;34.1;North America;11
