libelle_region,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Île-de-France,11.085095363342527,12.604368733523398,12.887868972173145,11.073921593227622,11.540760762983155,12.305207945888283,11.749357213840097,11.537301716317334,11.414935141658429,10.70865464989168,11.61174255137155
Hauts-de-France,17.04721521615683,19.386145199201607,19.376341084795072,17.13575398529943,17.99765259069432,19.297734288304557,19.85985317560832,19.244938032591502,19.31638238694932,18.335714038381006,19.33510541750794
Auvergne-Rhône-Alpes,12.310112112285335,14.547461317877048,14.539725899847818,13.24692373215317,14.236651256465828,14.640641913117,14.574099265276269,13.979457356992416,14.129720015790497,13.444872345521798,14.341147302035303
Grand Est,16.019695364261104,17.881637384409952,19.790020112418546,17.62078088482559,19.221894186767138,21.043062083037015,21.5605672234033,20.200819441042043,20.62332236769352,18.79923878270206,20.53588150619013
Provence-Alpes-Côte d'Azur,13.035525221695949,13.990819912936553,13.932886481437615,12.690542327270794,13.884225061115428,15.791171422381518,15.895469048273748,14.582024575332323,15.754074865335003,15.093958957079373,14.834512232803005
Normandie,19.364793433521108,20.55935318569662,21.82429680873706,20.273336224498195,21.018818033195224,21.221650749399295,21.129795955360052,21.843138136610982,20.90254959536919,19.890659628376728,19.624837940869504
Nouvelle-Aquitaine,9.407813433759676,10.736146431105828,10.81949604967018,9.943332522115961,11.07910953700741,11.258882376976263,11.291453945628254,11.259685691828922,11.09976586585801,10.568046834538537,11.288106977574795
Occitanie,9.552597732549726,10.496200465239845,10.565965869452057,10.236050059288921,9.246880452366913,9.333457110458824,9.392855149712627,9.360862101030238,9.20617889141785,8.836590484007875,9.34628709055902
Pays de la Loire,11.930670117725146,12.679293146198397,12.944277365378262,11.519493338249585,12.128535157187619,13.000747684513765,12.981270883482534,12.4398067938646,13.145542739143849,12.346088759353767,12.82998425938874
Bourgogne-Franche-Comté,13.012182113095653,14.645117522708185,14.819732964525285,13.172113052751778,13.72403551296888,14.355825175832704,14.177559853549312,13.865472221355486,13.80160762025918,12.968214936355842,14.131876790259872
Bretagne,10.103213043586253,11.016508734879727,11.22007944599835,10.459341614158037,10.723401141710603,11.248633288321608,11.182085463514756,11.324366755730514,11.302686091036168,11.01689213864238,11.803754381256308
Centre-Val de Loire,12.17643081339964,13.436109595459879,13.609001930112795,12.132181587707299,12.959600652943466,13.534578390924924,13.344043649971997,13.11507466726347,12.74023978193254,11.899304813881548,12.631796391998673
