Gemeente,Werkloosheidsgraad
Lens,6.50
Leopoldsburg,3.43
Les Bons Villers,6.07
Lessen,8.18
Leuven,3.23
Leuze-en-Hainaut,7.79
Libin,4.62
Libramont-Chevigny,5.91
Lichtervelde,1.34
Liedekerke,2.90
Lier,4.18
Lierde,2.42
Lierneux,5.98
Lievegem,2.45
Lijsem,6.36
Lille,3.72
Limburg,7.92
Linkebeek,6.73
Lint,2.37
Linter,2.33
Lo-Reninge,1.27
Lobbes,7.61
Lochristi,2.39
Lokeren,3.42
Lommel,2.91
Londerzeel,2.21
Lontzen,4.69
Lubbeek,1.85
Luik,15.09
Lummen,2.62
Maarkedal,1.71
Maaseik,3.21
Maasmechelen,4.70
Machelen,3.82
Maldegem,2.64
Malle,3.17
Malmedy,5.76
Manage,12.20
Manhay,4.23
Marche-en-Famenne,7.62
Marchin,7.82
Martelange,6.57
Mechelen,4.63
Meerhout,3.35
Meise,2.89
Meix-Devant-Virton,4.76
Melle,2.49
Menen,3.99
Merbes-Le-Château,9.11
Merchtem,2.42
Merelbeke,2.56
Merksplas,2.64
Mesen,1.88
Messancy,4.90
Mettet,6.21
Meulebeke,1.86
Middelkerke,4.88
Modave,5.81
Moerbeke,2.51
Moeskroen,8.99
Mol,3.51
Momignies,8.78
Mont-de-l'Enclus,3.00
Mont-Saint-Guibert,6.07
Montigny-le-Tilleul,8.10
Moorslede,1.99
Morlanwelz,10.07
Mortsel,4.13
Musson,5.86
Namen,10.54
Nandrin,6.46
Nassogne,6.28
Nazareth,2.44
Neufchâteau,5.78
Neupre,7.40
Niel,3.10
Nieuwerkerken,2.53
Nieuwpoort,5.04
Nijlen,3.02
Nijvel,8.54
Ninove,3.13
Oerle,7.17
Ohey,5.79
Olen,3.23
Olne,4.81
Onhaye,7.62
Oostende,7.35
Oosterzele,1.93
Oostkamp,2.70
Oostrozebeke,1.98
Opwijk,2.51
Opzullik,6.23
Orp-Jauche,6.05
Ottignies-Louvain-La-Neuve,7.69
Oud-Heverlee,2.11
Oud-Turnhout,3.80
Oudenaarde,3.24
Oudenburg,3.62
Oudergem,8.81
Oudsbergen,2.43
Ouffet,5.42
Oupeye,9.63
Overijse,2.84
Paliseul,6.74
Pecq,7.06
Peer,2.45
Pelt,2.99
Pepingen,1.79
Pepinster,9.45
Peruwelz,9.12
Perwijs,5.56
Philippeville,9.07
Pittem,2.32
Plombières,6.42
Pont-à-Celles,6.97
Poperinge,2.50
Profondeville,7.45
Putte,2.36
Puurs-Sint-Amands,2.62
Quaregnon,11.41
Quevy,6.45
Quievrain,14.15
Raeren,3.42
Ramillies,6.34
Ranst,3.23
Ravels,3.19
Rebecq,6.98
Remicourt,6.19
Rendeux,5.47
Retie,3.44
Riemst,2.97
Rijkevorsel,2.59
Rixensart,7.93
Rochefort,7.65
Roeselare,3.52
Ronse,6.10
Roosdaal,1.86
Rotselaar,1.84
Rouvroy,7.56
Ruiselede,1.94
Rumes,4.39
Rumst,2.28
's Gravenbrakel,8.21
Saint-Georges-sur-Meuse,8.10
Saint-Ghislain,9.12
Saint-Hubert,5.62
Saint-Leger,3.87
Saint-Nicolas,11.34
Sainte-Ode,5.18
Sambreville,9.38
Sankt Vith,2.10
Schaarbeek,14.03
Schelle,2.39
Scherpenheuvel-Zichem,2.69
Schilde,4.27
Schoten,4.43
Seneffe,8.31
Seraing,13.57
Sint-Agatha-Berchem,13.42
Sint-Genesius-Rode,4.35
Sint-Gillis,16.91
Sint-Gillis-Waas,3.71
Sint-Jans-Molenbeek,17.38
Sint-Joost-Ten-Node,16.35
Sint-Katelijne-Waver,2.75
Sint-Lambrechts-Woluwe,8.53
Sint-Laureins,2.52
Sint-Lievens-Houtem,2.40
Sint-Martens-Latem,4.23
Sint-Niklaas,4.77
Sint-Pieters-Leeuw,3.31
Sint-Pieters-Woluwe,8.20
Sint-Truiden,4.32
Sivry-Rance,7.67
Sombreffe,5.93
Somme-Leuze,5.57
Soumagne,6.92
Spa,8.86
Spiere-Helkijn,3.69
Sprimont,6.19
Stabroek,4.72
Staden,1.86
Stavelot,6.15
Steenokkerzeel,2.39
Stekene,3.12
Stoumont,6.29
Tellin,7.33
Temse,3.56
Tenneville,3.38
Ternat,2.06
Tervuren,2.85
Tessenderlo,2.57
Theux,5.78
Thimister-Clermont,4.53
Thuin,8.26
Tielt,2.64
Tielt-Winge,2.64
Tienen,3.81
Tinlot,4.98
Tintigny,4.23
Tongeren,4.07
Torhout,3.22
Tremelo,2.65
Trois-Ponts,7.00
Trooz,8.48
Tubeke,7.73
Turnhout,6.00
Ukkel,11.78
Vaux-sur-Sûre,3.61
Verlaine,5.69
Verviers,14.21
Veurne,2.36
Vielsalm,7.07
Villers-La-Ville,5.53
Villers-le-Bouillet,6.87
Vilvoorde,3.93
Viroinval,11.59
Virton,6.74
Vleteren,1.48
Vloesberg,7.06
Voeren,3.00
Vorselaar,3.19
Vorst,16.77
Vosselaar,3.18
Vresse-Sur-Semois,8.21
Waasmunster,2.57
Wachtebeke,2.39
Weismes,5.35
Walcourt,7.76
Walhain,5.49
Wanze,7.53
Waregem,2.44
Wasseiges,5.79
Waterloo,7.95
Watermaal-Bosvoorde,11.27
Waver,7.18
Welkenraedt,7.01
Wellen,2.98
Wellin,5.47
Wemmel,3.89
Wervik,3.54
Westerlo,3.05
Wetteren,3.23
Wevelgem,2.09
Wezembeek-Oppem,3.82
Wezet,8.49
Wichelen,2.71
Wielsbeke,1.80
Wijnegem,4.20
Willebroek,4.19
Wingene,2.00
Wommelgem,4.29
Wortegem-Petegem,1.80
Wuustwezel,3.73
Yvoir,6.29
Zandhoven,3.48
Zaventem,3.67
Zedelgem,2.25
Zele,3.51
Zelzate,3.39
Zemst,2.01
Zinnik,8.34
Zoersel,3.19
Zonhoven,2.94
Zonnebeke,1.39
Zottegem,2.67
Zoutleeuw,2.84
Zuienkerke,4.03
Zulte,2.05
Zutendaal,2.94
Zwalm,2.30
Zwevegem,2.17
Zwijndrecht,4.99
